Discount Rate,CAPEX ($/kW),Capacity Factor (%),Economic Life (Years),Capital Recovery Factor,Fixed O&M Cost Fraction,Variable O&M Cost ($/MWh),LCOE ($/MWh),Technology
0.0007000000000000001,5246.086261883446,35,25,0.08581051722066561,0.0269,0,192.85358641914922,WOF-357
0.0007000000000000001,5246.086261883446,35,30,0.0805864035111112,0.0269,0,183.91485479416212,WOF-357
0.0007000000000000001,5246.086261883446,45,25,0.08581051722066561,0.0269,0,149.9972338815605,WOF-357
0.0007000000000000001,5246.086261883446,45,30,0.0805864035111112,0.0269,0,143.0448870621261,WOF-357
0.0007000000000000001,3798.043130941723,25,25,0.08581051722066561,0.0269,0,195.47004827161544,WOF-357
0.0007000000000000001,3798.043130941723,25,30,0.0805864035111112,0.0269,0,186.4100440753453,WOF-357
0.0007000000000000001,3798.043130941723,30,25,0.08581051722066561,0.0269,0,162.89170689301284,WOF-357
0.0007000000000000001,3798.043130941723,30,30,0.0805864035111112,0.0269,0,155.34170339612106,WOF-357
0.0007000000000000001,3798.043130941723,35,25,0.08581051722066561,0.0269,0,139.62146305115388,WOF-357
0.0007000000000000001,3798.043130941723,35,30,0.0805864035111112,0.0269,0,133.1500314823895,WOF-357
0.0007000000000000001,2350.0,25,25,0.08581051722066561,0.0269,0,120.94507555642198,WOF-357
0.0007000000000000001,2350.0,25,30,0.0805864035111112,0.0269,0,115.33929143886361,WOF-357
0.0007000000000000001,2350.0,30,25,0.08581051722066561,0.0269,0,100.78756296368499,WOF-357
